iter	Passed	Remaining
419	2442	6281
420	2449	6277
421	2454	6268
422	2459	6261
423	2465	6257
424	2481	6276
425	2486	6268
426	2490	6259
427	2497	6254
428	2502	6247
429	2507	6238
430	2515	6238
431	2521	6233
432	2527	6228
433	2534	6224
434	2539	6217
435	2546	6214
436	2552	6208
437	2558	6202
438	2564	6197
439	2569	6189
440	2574	6181
441	2579	6175
442	2585	6167
443	2590	6160
444	2596	6154
445	2601	6147
446	2605	6138
447	2612	6135
448	2618	6128
449	2623	6120
450	2629	6116
451	2634	6109
452	2640	6102
453	2645	6096
454	2651	6088
455	2657	6084
456	2663	6078
457	2668	6070
458	2674	6064
459	2679	6058
460	2686	6054
461	2692	6049
462	2697	6042
463	2702	6034
464	2708	6028
465	2713	6020
466	2718	6013
467	2724	6008
468	2730	6001
469	2735	5993
470	2741	5988
471	2746	5981
472	2751	5973
473	2758	5970
474	2763	5963
475	2768	5956
476	2775	5951
477	2780	5944
478	2787	5941
479	2793	5935
480	2798	5928
481	2805	5924
482	2810	5917
483	2815	5910
484	2821	5905
485	2826	5897
486	2831	5890
487	2839	5887
488	2844	5881
489	2852	5878
490	2858	5873
491	2863	5866
492	2870	5862
493	2875	5855
494	2880	5848
495	2886	5843
496	2891	5836
497	2896	5828
498	2903	5823
499	2907	5815
500	2912	5808
501	2919	5803
502	2924	5795
503	2929	5788
504	2935	5783
505	2940	5776
506	2945	5768
507	2951	5763
508	2956	5755
509	2961	5748
510	2967	5742
511	2972	5735
512	2977	5729
513	2984	5725
514	2989	5718
515	2994	5710
516	3000	5704
517	3006	5700
518	3012	5694
519	3018	5688
520	3023	5680
521	3030	5676
522	3034	5669
523	3039	5662
524	3046	5657
525	3051	5650
526	3057	5644
527	3063	5639
528	3068	5632
529	3074	5626
530	3081	5622
531	3086	5616
532	3093	5612
533	3102	5611
534	3111	5611
535	3117	5606
536	3123	5601
537	3129	5596
538	3135	5590
539	3141	5584
540	3147	5578
541	3152	5571
542	3158	5567
543	3164	5561
544	3169	5554
545	3175	5549
546	3180	5541
547	3185	5534
548	3191	5528
549	3197	5522
550	3201	5514
551	3207	5508
552	3213	5502
553	3218	5495
554	3224	5490
555	3229	5482
556	3234	5476
557	3240	5470
558	3245	5463
559	3251	5457
560	3257	5452
561	3263	5446
562	3268	5439
563	3274	5434
564	3279	5427
565	3286	5423
566	3291	5416
567	3297	5410
568	3303	5404
569	3308	5398
570	3314	5391
571	3320	5387
572	3326	5380
573	3330	5373
574	3336	5367
575	3341	5360
576	3346	5353
577	3352	5348
578	3357	5341
579	3363	5334
580	3369	5329
581	3374	5322
582	3379	5315
583	3386	5311
584	3391	5305
585	3397	5298
586	3403	5293
587	3409	5288
588	3415	5283
589	3421	5276
590	3425	5269
591	3432	5264
592	3437	5258
593	3442	5251
594	3449	5246
595	3454	5240
596	3459	5233
597	3466	5228
598	3471	5221
599	3476	5214
600	3483	5210
601	3489	5204
602	3496	5201
603	3502	5196
604	3508	5190
605	3514	5185
606	3520	5179
607	3525	5172
608	3531	5167
609	3536	5160
610	3541	5153
611	3549	5150
612	3554	5143
613	3562	5140
614	3568	5134
615	3573	5128
616	3581	5125
617	3586	5118
618	3592	5112
619	3598	5107
620	3603	5099
621	3609	5095
622	3615	5089
623	3620	5082
624	3627	5077
625	3632	5071
626	3637	5064
627	3643	5059
628	3648	5052
629	3653	5045
630	3660	5040
631	3665	5034
632	3671	5028
633	3677	5023
634	3683	5017
635	3689	5011
636	3695	5006
637	3700	4999
638	3705	4993
639	3711	4987
640	3716	4980
641	3722	4974
642	3727	4968
643	3733	4961
644	3739	4956
645	3744	4950
646	3749	4943
647	3756	4939
648	3761	4932
649	3766	4925
650	3773	4920
651	3778	4914
652	3783	4907
653	3789	4901
654	3794	4895
655	3801	4890
656	3807	4884
657	3812	4878
658	3818	4873
659	3824	4867
660	3830	4861
661	3836	4857
662	3842	4850
663	3847	4843
664	3853	4838
665	3858	4831
666	3863	4824
667	3869	4819
668	3874	4812
669	3879	4806
670	3885	4800
671	3891	4794
672	3896	4787
673	3902	4782
674	3907	4775
675	3912	4769
676	3918	4763
677	3923	4757
678	3929	4751
679	3935	4745
680	3940	4738
681	3945	4732
682	3951	4726
683	3956	4720
684	3961	4713
685	3967	4708
686	3972	4701
687	3978	4695
688	3984	4689
689	3989	4682
690	3994	4676
691	4000	4670
692	4005	4664
693	4011	4658
694	4017	4653
695	4022	4646
696	4028	4641
697	4034	4635
698	4039	4629
699	4045	4623
700	4050	4616
701	4055	4610
702	4062	4605
703	4067	4599
704	4072	4592
705	4079	4587
706	4085	4581
707	4090	4575
708	4097	4571
709	4103	4565
710	4110	4561
711	4116	4555
712	4121	4549
713	4127	4544
714	4133	4538
715	4138	4531
716	4144	4525
717	4149	4519
718	4154	4513
719	4160	4507
720	4166	4501
721	4171	4494
722	4177	4489
723	4181	4482
724	4187	4476
725	4192	4470
726	4197	4463
727	4203	4457
728	4209	4451
729	4213	4444
730	4218	4438
731	4225	4433
732	4231	4427
733	4236	4421
734	4242	4415
735	4248	4409
736	4254	4404
737	4260	4398
738	4265	4392
739	4272	4388
740	4278	4382
741	4283	4375
742	4289	4370
743	4294	4363
744	4299	4357
745	4305	4351
746	4310	4345
747	4315	4338
748	4321	4333
749	4326	4326
750	4331	4320
751	4337	4314
752	4343	4308
753	4348	4302
754	4354	4296
755	4359	4290
756	4364	4283
757	4371	4279
758	4376	4272
759	4382	4266
760	4388	4261
761	4393	4255
762	4399	4249
763	4405	4243
764	4410	4237
765	4417	4232
766	4422	4226
767	4427	4219
768	4433	4214
769	4439	4209
770	4445	4203
771	4452	4198
772	4457	4192
773	4464	4187
774	4470	4181
775	4475	4175
776	4482	4171
777	4488	4165
778	4492	4158
779	4499	4152
780	4504	4146
781	4509	4140
782	4515	4135
783	4520	4128
784	4525	4122
785	4532	4116
786	4537	4110
787	4542	4104
788	4548	4098
789	4555	4093
790	4560	4088
791	4566	4081
792	4571	4075
793	4578	4070
794	4583	4064
795	4589	4058
796	4595	4053
797	4600	4047
798	4606	4041
799	4613	4036
800	4618	4030
801	4624	4025
802	4631	4019
803	4636	4013
804	4643	4008
805	4649	4003
806	4654	3997
807	4660	3991
808	4665	3985
809	4670	3978
810	4677	3973
811	4682	3967
812	4686	3960
813	4692	3954
814	4697	3948
815	4703	3942
816	4709	3936
817	4714	3930
818	4719	3924
819	4725	3918
820	4730	3912
821	4735	3906
822	4742	3901
823	4748	3895
824	4754	3890
825	4759	3883
826	4765	3877
827	4771	3872
828	4776	3866
829	4781	3859
830	4787	3854
831	4793	3848
832	4798	3842
833	4804	3836
834	4809	3830
835	4814	3823
836	4821	3818
837	4826	3813
838	4832	3806
839	4838	3801
840	4843	3795
841	4848	3788
842	4854	3783
843	4859	3777
844	4865	3771
845	4870	3765
846	4876	3759
847	4881	3753
848	4887	3747
849	4892	3741
850	4898	3735
851	4904	3730
852	4909	3723
853	4915	3718
854	4921	3712
855	4926	3706
856	4933	3701
857	4938	3695
858	4943	3689
859	4950	3683
860	4956	3678
861	4962	3672
862	4967	3666
863	4972	3660
864	4977	3654
865	4983	3648
866	4989	3642
867	4996	3637
868	5001	3631
869	5006	3625
870	5013	3620
871	5018	3614
872	5023	3607
873	5029	3602
874	5035	3596
875	5040	3590
876	5046	3585
877	5051	3578
878	5056	3572
879	5063	3567
880	5068	3561
881	5074	3555
882	5079	3549
883	5085	3543
884	5089	3537
885	5095	3531
886	5101	3525
887	5106	3519
888	5112	3513
889	5117	3507
890	5122	3501
891	5128	3495
892	5133	3489
893	5138	3483
894	5144	3477
895	5149	3471
896	5155	3465
897	5161	3460
898	5167	3454
899	5174	3449
900	5180	3443
901	5185	3437
902	5192	3432
903	5197	3426
904	5202	3420
905	5208	3414
906	5213	3408
907	5218	3402
908	5225	3397
909	5230	3391
910	5235	3384
911	5241	3379
912	5246	3373
913	5251	3367
914	5257	3361
915	5263	3355
916	5268	3349
917	5274	3343
918	5280	3338
919	5285	3332
920	5291	3326
921	5296	3320
922	5301	3314
923	5306	3308
924	5312	3302
925	5316	3295
926	5323	3290
927	5328	3284
928	5334	3278
929	5340	3272
930	5344	3266
931	5350	3260
932	5356	3255
933	5361	3249
934	5367	3243
935	5373	3237
936	5378	3231
937	5402	3236
938	5407	3230
939	5412	3224
940	5419	3219
941	5424	3213
942	5431	3208
943	5437	3202
944	5443	3196
945	5449	3191
946	5454	3185
947	5460	3179
948	5466	3173
949	5471	3167
950	5477	3161
951	5483	3156
952	5488	3150
953	5493	3143
954	5499	3138
955	5503	3131
956	5508	3125
957	5516	3120
958	5521	3114
959	5526	3108
960	5533	3103
961	5538	3097
962	5544	3091
963	5549	3085
964	5554	3079
965	5561	3074
966	5567	3068
967	5571	3062
968	5578	3056
969	5584	3051
970	5590	3045
971	5596	3039
972	5601	3033
973	5606	3027
974	5612	3022
975	5617	3016
976	5622	3009
977	5628	3004
978	5633	2998
979	5638	2991
980	5644	2986
981	5649	2979
982	5654	2974
983	5661	2968
984	5666	2962
985	5671	2956
986	5677	2950
987	5683	2945
988	5689	2939
989	5695	2934
990	5700	2928
991	5710	2924
992	5717	2918
993	5724	2914
994	5731	2908
995	5736	2902
996	5742	2897
997	5747	2891
998	5752	2885
999	5758	2879
1000	5763	2873
1001	5769	2867
1002	5775	2861
1003	5780	2855
1004	5785	2849
1005	5791	2844
1006	5797	2838
1007	5804	2833
1008	5809	2827
1009	5815	2821
1010	5821	2815
1011	5826	2809
1012	5831	2803
1013	5837	2798
1014	5843	2791
1015	5848	2785
1016	5854	2780
1017	5859	2774
1018	5864	2768
1019	5870	2762
1020	5875	2756
1021	5880	2750
1022	5887	2745
1023	5892	2739
1024	5898	2733
1025	5904	2727
1026	5909	2721
1027	5914	2715
1028	5920	2710
1029	5925	2704
1030	5931	2698
1031	5937	2692
1032	5942	2686
1033	5947	2680
1034	5953	2674
1035	5958	2668
1036	5964	2662
1037	5969	2657
1038	5974	2650
1039	5980	2645
1040	5986	2639
1041	5991	2633
1042	5998	2628
1043	6005	2622
1044	6013	2618
1045	6018	2612
1046	6024	2606
1047	6031	2601
1048	6036	2595
1049	6042	2589
1050	6048	2583
1051	6053	2578
1052	6059	2572
1053	6065	2566
1054	6070	2560
1055	6075	2554
1056	6081	2548
1057	6086	2542
1058	6092	2537
1059	6098	2531
1060	6104	2525
1061	6110	2520
1062	6115	2514
1063	6120	2508
1064	6127	2502
1065	6132	2496
1066	6137	2490
1067	6144	2485
1068	6149	2479
1069	6155	2473
1070	6161	2467
1071	6166	2461
1072	6172	2456
1073	6177	2450
1074	6182	2444
1075	6187	2438
1076	6193	2432
1077	6198	2426
1078	6203	2420
1079	6209	2414
1080	6216	2409
1081	6223	2404
1082	6228	2398
1083	6233	2392
1084	6241	2387
1085	6246	2381
1086	6251	2375
1087	6257	2369
1088	6262	2363
1089	6267	2357
1090	6273	2351
1091	6279	2346
1092	6284	2340
1093	6291	2334
1094	6297	2329
1095	6304	2323
1096	6310	2318
1097	6316	2312
1098	6322	2306
1099	6327	2300
1100	6332	2294
1101	6338	2289
1102	6344	2283
1103	6349	2277
1104	6355	2271
1105	6360	2265
1106	6366	2260
1107	6372	2254
1108	6377	2248
