iter	RMSE
0	16.26624342
1	16.10457278
2	15.96119362
3	15.82193387
4	15.69284047
5	15.58786302
6	15.48398671
7	15.36742328
8	15.27047577
9	15.18614874
10	15.10026194
11	15.01489715
12	14.9335198
13	14.87337994
14	14.81276225
15	14.73747466
16	14.6686021
17	14.61423265
18	14.56169452
19	14.50403673
20	14.44626254
21	14.3847089
22	14.33354553
23	14.29243404
24	14.25025506
25	14.20469003
26	14.17223117
27	14.13776264
28	14.09798319
29	14.06326478
30	14.03034464
31	13.97974311
32	13.94937924
33	13.92367877
34	13.88596596
35	13.85357729
36	13.82593626
37	13.80012749
38	13.76699122
39	13.74390568
40	13.7191458
41	13.69630923
42	13.66210666
43	13.64121908
44	13.62278129
45	13.59819377
46	13.57693846
47	13.55492571
48	13.52965031
49	13.50770708
50	13.48795155
51	13.46056013
52	13.42900098
53	13.41193724
54	13.38868524
55	13.37289999
56	13.34095348
57	13.32343763
58	13.30189212
59	13.28503718
60	13.25411849
61	13.23121636
62	13.20621563
63	13.18600201
64	13.1630331
65	13.14376536
66	13.12169584
67	13.10882653
68	13.0939093
69	13.07747512
70	13.0555705
71	13.04301975
72	13.02170095
73	13.01017637
74	12.99175739
75	12.97483777
76	12.95757692
77	12.94588191
78	12.92660877
79	12.91348197
80	12.89754898
81	12.87429232
82	12.86017586
83	12.8450863
84	12.83169117
85	12.81866106
86	12.80514069
87	12.7926966
88	12.78306215
89	12.76251612
90	12.75088337
91	12.73748618
92	12.72251324
93	12.70817736
94	12.69822334
95	12.68501131
96	12.6721412
97	12.65968007
98	12.64821475
99	12.63723961
100	12.62995443
101	12.62102687
102	12.60901693
103	12.59812189
104	12.58715216
105	12.57751768
106	12.56588856
107	12.55668117
108	12.54660025
109	12.53653195
110	12.52658614
111	12.51683044
112	12.50474456
113	12.49860793
114	12.4903313
115	12.47816181
116	12.47110291
117	12.46101079
118	12.45019883
119	12.44274095
120	12.43374334
121	12.4259812
122	12.41873661
123	12.40843668
124	12.39782465
125	12.38920076
126	12.37567584
127	12.36365698
128	12.35481886
129	12.34607507
130	12.33675884
131	12.32879099
132	12.32363442
133	12.31609191
134	12.30769655
135	12.29562323
136	12.2853841
137	12.27523252
138	12.27007119
139	12.26073843
140	12.25379321
141	12.24738351
142	12.24131056
143	12.23350266
144	12.22706452
145	12.21672885
146	12.20929741
147	12.20102421
148	12.19241141
149	12.18089764
150	12.17050546
151	12.16072275
152	12.15515353
153	12.14792659
154	12.14115856
155	12.13202641
156	12.12340802
157	12.11681114
158	12.1114536
159	12.10546326
160	12.09947344
161	12.092154
162	12.08606987
163	12.08095906
164	12.07299453
165	12.06542627
166	12.05989395
167	12.05215843
168	12.04374697
169	12.03707727
170	12.02935742
171	12.02091132
172	12.0141109
173	12.01081855
174	12.00674994
175	11.99928325
176	11.99144891
177	11.98545483
178	11.97822105
179	11.96996175
180	11.96212875
181	11.95455725
182	11.94518782
